iter	Logloss
0	0.6567046214
1	0.623830585
2	0.5927619453
3	0.563544129
4	0.5362006868
5	0.5120334787
6	0.4898545829
7	0.4680334057
8	0.4486342428
9	0.4302221497
10	0.4140771463
11	0.3995125531
12	0.3860895303
13	0.3726924876
14	0.3603718148
15	0.3496382346116	0.3398406991117	0.3304505918	18	0.3223051519	19	0.313004082020	0.3061285142121	0.2991338472222	0.2925219682323	0.2863181252424	0.2799939872525	0.2748273752626	0.2691459132727	0.2638363792228	0.2583268082229	0.2541542743330	0.2488855473331	0.2441110733332	0.2408961843333	0.2368458883334	0.2332193333335	0.2294549036336	0.2260145537337	0.222974338	338	0.21996139	0339	0.21739040	0440	0.21470141	0441	0.2124442	0.442	0.2099943	0.443	0.2077444	0.444	0.205845	0.2445	0.204146	0.4646	0.20247	0.1447	0.200848	0.4848	0.199149	0.4949	0.197550	0.5050	0.196251	051	51	0.194852	052	52	0.193653	053	53	0.192354	054	54	0.190955	055	55	0.189756	056	56	0.18857	0.5757	0.188158	0.5858	0.187259	0.5959	0.186560	0.6060	0.185561	0.661	0.1846862	0.662	0.1838363	0.663	0.1830764	06464	0.182265	0.6565	0.181566	066	66	0.180967	067	67	0.180468	068	68	0.179969	069	69	0.179470	070	70	0.178871	071	71	0.17872	0.72	72	0.17773	0.73	73	0.17774	0.74	74	0.17675	0.75	75	0.17576	0.76	76	0.17577	0.77	77	0.1778	0.178	78	0.1779	0.179	79	0.1780	0.180	80	0.1781	0.181	81	0.1782	0.182	82	0.1783	0.83	083	0.1784	0.84	084	0.1785	0.85	085	0.1786	0.86	086	0.1787	0.87	087	0.1788	0.88	088	0.1789	0.89	089	0.1790	0.90	090	0.1691	0.91	091	0.1692	092	0.92	0.1693	093	0.93	0.1694	094	094	0.16995	095	095	0.16896	096	096	0.16897	097	097	0.1698	0.98	098	0.1699	0.99	099	0.16100	0100	100	0.16101	101	101	0.166102	102	102	0.16103	0103	103	0.16104	0104	104	0.16105	0105	105	0.16106	0106	106	0.16107	0107	107	0.16108	0108108	0.165109	0109109	0.164110	0110110	0.164111	0111111	0.164112	011112	0.164113	0.11113	0.164114	114	114	0.163115	115	115	0.163116	116	116	0.163117	117	117	0.163118	118	118	0.163119	119	119	0.163120	120	120	0.163121	121121	0.1628122	122122	0.1627123	12123	0.16264124	12124	0.16253125	12125	0.16238126	12126	0.16224127127127	0.16210128128128	0.162011129	0129	0.161871130	130	0.161807131	131	0.1617518132	132	0.1616640133133	0.16157243134134	0.1614607135135	0.16135714136136	0.1612906137	137	0.161213138	0138	0.161145139	139	0.1610673140	140	0.1609908141	141	0.1608958142	142	0.1607663143	143	0.160711144	0144	0.160630145	0145	0.160552146	0146	0.160451147	147	0.1603955148	148	0.1603130149	149	0.1602447150	150	0.1601360151	151	0.1600170152152	0.1599608915153	0.15988564115154	0.15982081115155	0.15966118215156	0.15957652415157	0.15951042815158	0.15945719515159	0.15935905160160	0.15928948161161	0.15923683162162	0.15916413163163	0.15908499164164	0.15900978165165	0.15896917166166	0.15891329167167	0.15884346168168	0.1587869316169	0.1587484571170	0.15864113631171	0.15859246117172	0.15847772017173	0.15845484717174	0.15840836317175	0.15835365717176	0.15827366917177	0.15821867717178	0.1581527991179	0.15810492471180	0.15806164161181	0.15798958611182	0.15795916751183	0.157905519
184	0.157803552
185	0.1577429636
186	0.1577045731
187	0.1576661498
188	0.1576526074
189	0.1576199476
190	0.1575883259
191	0.15753411
192	0.1575053722
193	0.1572924811
194	0.1571168186
195	0.1570701219
196	0.1568891086
197	0.1567702797
198	0.156649264
199	0.1565878619
200	0.1565262762
201	0.1564040967
202	0.1562864163
203	0.1562298053
204	0.1561053211
205	0.1560383383
206	0.1559874862
207	0.1559462606
208	0.155822352
209	0.155725112
210	0.1556097896
211	0.1555184329
212	0.1554495455
213	0.155356039
214	0.1553275297
215	0.1552067943
216	0.1551849244
217	0.1551654373
218	0.1551269947
219	0.1551214545
220	0.1550719053
221	0.15496447922222	0.15490795962223	0.15486617872224	0.15480053442225	0.15472215392226	0.15470302392227	0.15463681542228	0.15457317522229	0.1545269712230	0.154446737
231	0.15441293172232	0.15438938792233	0.15429852342234	0.15425799912235	0.15424721522236	0.154186449
237	0.154169488
238	0.154135163
239	0.1540879668
240	0.1540621949
241	0.1540138192
242	0.1540138065
243	0.1539298176
244	0.1538728964
245	0.1537765446
246	0.1537544392
247	0.1537164107
248	0.1536526672
249	0.1536028695
250	0.1535475179
251	0.153520993
252	0.1534813585
253	0.1534205579
254	0.153382158
255	0.1533396281
256	0.1533024571
257	0.1532809107
258	0.153231362
259	0.1531956477
260	0.1531615321
261	0.1530972733
