iter	Passed	Remaining
0	808	807311
1	1184	591312
2	1538	511161
3	2029	505263
4	2651	527575
5	3065	507803
6	3388	480668
7	3734	463016
8	4137	455558
9	4610	456458
10	4966	446527
11	5362	441492
12	5671	430597
13	6081	428279
14	6561	430894
15	6950	427443
16	7410	428513
17	7829	427142
18	8160	421328
19	8628	422779
20	9189	428400
21	9571	425490
22	10002	424887
23	10503	427155
24	10929	426247
25	11390	426711
26	11891	428542
27	12687	440448
28	13427	449576
29	13930	450417
30	14475	452468
31	14982	453215
32	15437	452352
33	16046	455902
34	16785	462791
35	17545	469816
36	18032	469338
37	18479	467822
38	18981	467720
39	19461	467087
40	20069	469438
41	20662	471304
42	21485	478183
43	22072	479572
44	22571	479018
45	23025	477530
46	23467	475850
47	23805	472148
48	24388	473340
49	25091	476735
50	25853	481076
51	26462	482438
52	27096	484154
53	27738	485935
54	28267	485688
55	28934	487745
56	29842	493709
57	30258	491444
58	30714	489865
59	31238	489399
60	31720	488290
61	32192	487046
62	32721	486673
63	34404	503167
64	34891	501907
65	35383	500726
66	35932	500370
67	36533	500719
68	37144	501182
69	37938	504037
70	38427	502807
71	38883	501160
72	39429	500703
73	40112	501950
74	40691	501859
75	41299	502115
76	41870	501903
77	42757	505410
78	43400	505969
79	43928	505174
80	44509	504993
81	45312	507274
82	45821	506241
83	46501	507092
84	46969	505610
85	47553	505394
86	48269	506556
87	48999	507810
88	49655	508273
89	50423	509836
90	51088	510322
91	51840	511643
92	52373	510787
93	53139	512172
94	53751	512050
95	54454	512775
96	54995	511970
97	55502	510852
98	56031	509947
99	56970	512731
100	57741	513960
101	58327	513513
102	58947	513354
103	59556	513105
104	60172	512899
105	60845	513170
106	61619	514262
107	62100	512901
108	62703	512560
109	63299	512148
110	63960	512263
111	64775	513580
112	65649	515319
113	66355	515709
114	66949	515218
115	67585	515047
116	68144	514289
117	69019	515888
118	69824	516934
119	70494	516962
120	71124	516679
121	71823	516896
122	72474	516750
123	73289	517754
124	73911	517377
125	74569	517255
126	75290	517549
127	75915	517177
128	76476	516366
129	77590	519260
130	78367	519855
131	78949	519151
132	80176	522652
133	81249	525086
134	82263	527092
135	83021	527429
136	83813	527962
137	84538	528058
138	85870	531905
139	86631	532165
140	87323	531991
141	88033	531920
142	88800	532184
143	89912	534482
144	90662	534597
145	91428	534795
146	92092	534385
147	92933	534996
148	94050	537160
149	94880	537656
150	95616	537605
151	96289	537193
152	97093	537507
153	97984	538275
154	98823	538749
155	99572	538714
156	100243	538252
157	100987	538176
158	101985	539430
159	102664	538986
160	103427	538981
161	104061	538291
162	105109	539735
163	106091	540805
164	106784	540393
165	107757	541381
166	108693	542165
167	109821	543880
168	110610	543887
169	111381	543802
170	112105	543482
171	112893	543462
172	113794	543975
173	114592	543986
174	115394	544003
175	116176	543915
176	116948	543776
177	117895	544439
178	118659	544245
179	119419	544021
180	120154	543684
181	120940	543566
182	122057	544925
183	122811	544641
184	123490	544024
185	124342	544166
186	124993	543419
187	126077	544546
188	127098	545380
189	127791	544797
190	128493	544246
191	129468	544848
192	130453	545472
193	131284	545438
194	132084	545270
195	132865	545020
196	133615	544636
197	134700	545606
198	135522	545493
199	136316	545266
200	137160	545231
201	138239	546114
202	139074	546021
203	140096	546652
204	140805	546050
205	141698	546156
206	142773	546955
207	143443	546189
208	144216	545813
209	145151	546046
210	146323	547151
211	147139	546912
212	147958	546681
213	148883	546835
214	149638	546354
215	150743	547142
216	151572	546918
217	152221	546043
218	152945	545435
219	153820	545365
220	154972	546261
221	155581	545235
222	156336	544723
223	157149	544410
224	158053	544407
225	159173	545132
226	160063	545062
227	161040	545277
228	161855	544935
229	163026	545784
230	163747	545114
231	164553	544730
232	165459	544666
233	166753	545867
234	167441	545076
235	168247	544666
236	169081	544343
237	169786	543601
238	171008	544506
239	171905	544368
240	172670	543805
241	173457	543307
242	174272	542898
243	175364	543341
244	176144	542811
245	176769	541807
246	177532	541221
247	178371	540867
248	179499	541383
249	180216	540648
250	181246	540851
251	181981	540166
252	183007	540343
253	183909	540144
254	184659	539494
255	185384	538772
256	186076	537955
257	187057	537970
258	188029	537953
259	188811	537385
260	189719	537174
261	190421	536378
262	191564	536816
263	192422	536450
264	193220	535912
265	193928	535126
266	194820	534843
267	195849	534933
268	196668	534441
269	197320	533495
270	198115	532937
271	198728	531890
272	199762	531968
273	200620	531570
274	201598	531486
275	202333	530758
276	203452	531032
277	204267	530508
278	205190	530258
279	206108	529994
280	207156	530056
281	208099	529842
282	209000	529517
283	209925	529248
284	210921	529154
285	212124	529568
286	212993	529143
287	213801	528563
288	215600	530421
289	216281	529517
290	217087	528918
291	217879	528283
292	218685	527681
293	219907	528076
294	220756	527570
295	221596	527041
296	222430	526494
297	223357	526164
298	224275	525809
299	225155	525361
300	225952	524719
