iter	Passed	Remaining
0	1149	5744529
1	2454	6133944
2	2949	4912411
3	3716	4642117
4	4259	4255007
5	5275	4391101
6	5760	4108570
7	6556	4091449
8	7415	4112282
9	8291	4137432
10	8984	4074863
11	9677	4022749
12	10068	3862534
13	10803	3847659
14	11630	3865300
15	12510	3896994
16	13377	3921269
17	14234	3939846
18	14918	3911001
19	15856	3948343
20	16934	4015065
21	17778	4022857
22	18516	4006906
23	19222	3985460
24	19952	3970578
25	21049	4026931
26	22180	4085352
27	23112	4104067
28	24383	4179640
29	25543	4231743
30	27810	4457712
31	29439	4570500
32	30749	4628258
33	32513	4748848
34	34294	4864901
35	35886	4948301
36	37192	4988831
37	38965	5088014
38	40516	5153887
39	42163	5228323
40	43182	5223016
41	44225	5220730
42	45325	5225054
43	46495	5237128
44	47836	5267369
45	48745	5249634
46	50489	5320700
47	51646	5328182
48	52395	5294126
49	53163	5263214
50	53948	5235094
51	55331	5264964
52	56590	5282174
53	57982	5310807
54	58985	5303321
55	60131	5308728
56	61114	5299785
57	61835	5268805
58	62669	5248326
59	63335	5214639
60	64178	5196393
61	65090	5184148
62	65805	5156878
63	66518	5130220
64	67356	5113892
65	68185	5097403
66	69243	5098197
67	69998	5076950
68	71130	5083267
69	72247	5088318
70	73920	5131782
71	74849	5123053
72	75674	5107540
73	76531	5094532
74	77313	5076936
75	78560	5089906
76	79618	5090416
77	80463	5077482
78	81237	5060379
79	81928	5038595
80	82629	5017974
81	83566	5011979
82	84528	5007572
83	85362	4995759
84	86277	4988874
85	87642	5007879
86	88941	5022642
87	89698	5006811
88	90325	4984165
89	91036	4966548
90	91985	4962169
91	93090	4966179
92	93922	4955671
93	94579	4936248
94	95327	4921931
95	96199	4914179
96	97559	4931265
97	98496	4926838
98	100003	4950654
99	100831	4940756
100	101877	4941572
101	102851	4938889
102	103481	4919909
103	104131	4902185
104	104759	4883767
105	105699	4880104
106	106489	4869677
107	107175	4854654
108	107817	4837937
109	108482	4822558
110	109153	4807649
111	109899	4796310
112	110824	4792935
113	111550	4781019
114	112215	4766717
115	112914	4754069
116	113611	4741599
117	114717	4746192
118	115638	4743117
119	116315	4730163
120	117135	4723168
121	117784	4709445
122	118409	4694989
123	119209	4687624
124	120105	4684120
125	120791	4672518
126	121379	4657359
127	122061	4645981
128	122837	4638301
129	124104	4649159
130	124870	4641165
131	125669	4634538
132	126392	4625222
133	127086	4614928
134	127850	4607362
135	128696	4602798
136	129328	4590672
137	130057	4582161
138	130751	4572551
139	131452	4563271
140	132676	4572164
141	133750	4575771
142	134426	4565804
143	135123	4556671
144	135839	4548284
145	136515	4538673
146	137267	4531708
147	138033	4525251
148	138797	4518830
149	139579	4513063
150	140188	4501816
151	140858	4492635
152	141616	4486361
153	142604	4487420
154	143292	4479037
155	143958	4470088
156	144697	4463508
157	145518	4459484
158	146349	4455821
159	147131	4450719
160	147897	4445198
161	148565	4436791
162	149255	4429128
163	149966	4422197
164	150663	4414909
165	151478	4411120
166	152438	4411591
167	153240	4407476
168	153968	4401315
169	154631	4393349
170	155312	4385976
171	156119	4382230
172	156946	4379090
173	158008	4382478
174	158718	4376105
175	159861	4381659
176	161082	4389268
177	162629	4405608
178	163857	4413166
179	165802	4439817
180	167666	4464015
181	169256	4480637
182	170783	4495426
183	172061	4503533
184	172831	4498294
185	173868	4500004
186	174686	4496081
187	175594	4494461
188	176328	4488438
189	177265	4487606
190	177979	4481173
191	178804	4477561
192	179674	4475108
193	180518	4472007
194	181314	4467786
195	182124	4463900
196	182840	4457779
197	183597	4452701
198	184372	4448090
199	185170	4444085
200	186061	4442345
201	187081	4443639
202	188163	4446411
203	189067	4444950
204	189961	4443253
205	190764	4439434
206	191569	4435723
207	192257	4429314
208	192940	4422867
209	193850	4421628
210	194645	4417795
211	195316	4411201
212	196081	4406779
213	196841	4402266
214	197535	4396317
215	198357	4393243
216	198990	4386047
217	199632	4379103
218	200407	4375098
219	201055	4368379
220	201825	4364369
221	202602	4360515
222	203231	4353529
223	203955	4348620
224	204650	4343140
225	205353	4337872
226	206131	4334220
227	207011	4332704
228	207625	4325675
229	208252	4318985
230	208858	4311884
231	209502	4305642
232	210431	4305268
233	211110	4299803
234	211737	4293307
235	212376	4287127
236	213023	4281138
237	213957	4280954
238	214836	4279657
239	215492	4273940
240	216117	4267657
241	216831	4263160
242	217511	4258035
243	218287	4254807
244	219053	4251435
245	219713	4246015
246	220401	4241166
247	221033	4235284
248	221702	4230147
249	222718	4231655
250	223440	4227571
251	224081	4221974
252	224703	4216068
253	225343	4210547
254	226089	4207034
255	226958	4205816
256	227594	4200318
257	228231	4194862
258	228847	4189050
259	229448	4183016
260	230236	4180417
261	231175	4180575
262	231843	4175827
263	232526	4171384
264	233335	4169219
265	233949	4163597
266	234834	4162811
267	235538	4158840
268	236166	4153551
269	236836	4149021
270	237452	4143582
271	238047	4137826
272	239205	4141853
273	240140	4141992
274	240983	4140539
275	241843	4139376
276	242547	4135569
277	243296	4132541
278	244108	4130602
279	244767	4126083
280	245486	4122602
281	246162	4118425
282	246857	4114578
283	247731	4113741
284	248977	4119052
285	249943	4119690
286	251427	4128848
287	252351	4128747
288	253328	4129524
289	254011	4125495
290	254764	4122631
291	255476	4119126
292	256290	4117271
293	257264	4117988
294	258159	4117423
295	258955	4115299
296	259684	4112101
297	260578	4111550
298	261443	4110529
299	262084	4105994
300	262852	4103461
301	263655	4101507
302	264296	4097029
303	265350	4098959
304	266327	4099698
305	267125	4097669
306	267848	4094501
307	268656	4092649
308	269713	4094584
309	270713	4095626
310	271773	4097581
311	272524	4094862
312	273567	4096513
313	275023	4104330
314	276550	4113134
315	277656	4115637
316	278926	4120550
317	280122	4124313
318	281451	4130019
319	282543	4132202
320	283593	4133744
321	284418	4132012
322	285324	4131467
323	286197	4130424
324	286870	4126526
325	287658	4124284
326	288444	4122020
327	289441	4122771
328	290334	4122049
329	291219	4121199
330	291938	4118010
331	292660	4114871
332	293377	4111695
333	294269	4110969
334	295195	4110703
335	295895	4107311
336	296607	4104100
337	297314	4100835
338	298070	4098243
339	298897	4096660
340	299736	4095228
341	300430	4091825
342	301124	4088446
343	301796	4084778
344	302681	4084007
345	303722	4085329
346	304633	4084897
347	305366	4082079
348	306045	4078564
349	306773	4075709
350	307508	4072959
351	308225	4069975
352	309097	4069058
353	309838	4066417
354	310588	4063898
355	311432	4062624
356	312217	4060579
357	313065	4059358
358	313924	4058277
359	314720	4056396
360	315594	4055522
361	316551	4055711
362	317542	4056320
363	318549	4057136
364	319542	4057747
365	320420	4056903
366	321263	4055624
367	322294	4056705
368	323229	4056574
369	324280	4057888
370	325067	4055895
371	325846	4053814
372	326603	4051459
373	327423	4049895
374	328496	4051460
375	329448	4051515
376	330658	4054737
377	331640	4055135
378	333018	4060368
379	335130	4074475
380	336447	4078875
381	337502	4080064
382	339336	4090645
383	340428	4092238
384	341741	4096465
385	342950	4099410
386	343893	4099174
387	345452	4106256
388	346747	4110158
389	347577	4108548
390	348724	4110664
391	349607	4109672
392	350697	4111103
393	351830	4113022
394	352808	4113123
395	354324	4119471
396	355998	4127611
397	357587	4134714
398	358574	4134839
399	359459	4133779
400	361009	4140353
401	362574	4147055
402	363644	4148075
403	365312	4155880
404	366580	4159107
405	367590	4159390
406	369087	4165158
407	370265	4167298
408	371600	4171197
409	372499	4170177
410	373332	4168430
411	374471	4170088
412	375571	4171298
413	376747	4173343
414	378411	4180764
415	379550	4182351
416	380491	4181752
417	381520	4182119
418	383796	4196114
419	384837	4196558
420	385689	4194947
421	386590	4193861
422	387465	4192507
423	388508	4192954
424	389386	4191635
425	390301	4190700
426	391431	4192075
427	393312	4201456
428	394583	4204291
